tanggal,waktu,tree_id,suhu_tanah,kelembaban_tanah,ph_tanah,jarak_ring,riwayat_infeksi,risiko_probabilitas_pct,status_aktual_lapangan
2026-07-02,08:00:00,T-0,26.5,85.4,5.8,0,0,100.00,Sehat
2026-07-02,08:00:00,T-1-0,30.5,79.0,6.4,1,0,80.23,Terinfeksi Berat
2026-07-02,08:00:00,T-1-1,25.1,88.1,6.2,1,0,92.36,Terinfeksi Berat
2026-07-02,08:00:00,T-1-2,26.0,90.1,5.8,1,0,99.00,Terinfeksi Berat
2026-07-02,08:00:00,T-1-3,24.1,79.2,5.0,1,0,99.00,Terinfeksi Berat
2026-07-02,08:00:00,T-1-4,26.1,94.5,5.9,1,0,99.00,Terinfeksi Berat
2026-07-02,08:00:00,T-1-5,24.2,92.4,5.4,1,0,99.00,Terinfeksi Berat
2026-07-02,08:00:00,T-2-0,29.2,86.3,6.1,2,0,40.03,Gejala Sedang
2026-07-02,08:00:00,T-2-1,28.7,79.2,5.6,2,0,40.01,Gejala Sedang
2026-07-02,08:00:00,T-2-2,24.7,67.3,5.0,2,0,38.08,Gejala Ringan
2026-07-02,08:00:00,T-2-3,25.5,93.6,5.4,2,0,49.04,Gejala Sedang
2026-07-02,08:00:00,T-2-4,25.4,83.5,6.3,2,0,37.50,Gejala Ringan
2026-07-02,08:00:00,T-2-5,25.9,86.7,5.5,2,0,44.60,Gejala Sedang
2026-07-02,08:00:00,T-2-6,25.1,66.0,6.2,2,0,30.12,Gejala Ringan
2026-07-02,08:00:00,T-2-7,30.5,82.6,6.0,2,0,38.95,Gejala Ringan
2026-07-02,08:00:00,T-2-8,27.0,82.4,5.4,2,0,43.17,Gejala Sedang
2026-07-02,08:00:00,T-2-9,24.9,94.9,5.4,2,0,49.72,Gejala Sedang
2026-07-02,08:00:00,T-2-10,31.5,81.8,5.3,2,0,43.67,Gejala Sedang
2026-07-02,08:00:00,T-2-11,25.9,75.2,5.6,2,0,37.99,Gejala Ringan
2026-07-02,08:00:00,T-3-0,27.6,86.3,6.3,3,0,23.83,Gejala Ringan
2026-07-02,08:00:00,T-3-1,27.7,88.6,6.1,3,0,25.26,Gejala Ringan
2026-07-02,08:00:00,T-3-2,24.4,74.1,6.4,3,0,20.14,Gejala Ringan
2026-07-02,08:00:00,T-3-3,30.7,66.2,5.2,3,0,22.14,Gejala Ringan
2026-07-02,08:00:00,T-3-4,27.3,75.2,6.5,3,0,20.12,Gejala Ringan
2026-07-02,08:00:00,T-3-5,29.7,74.7,5.9,3,0,22.02,Gejala Ringan
2026-07-02,08:00:00,T-3-6,28.9,80.3,6.1,3,0,22.90,Gejala Ringan
2026-07-02,08:00:00,T-3-7,31.8,92.5,6.2,3,0,25.95,Gejala Ringan
2026-07-02,08:00:00,T-3-8,28.0,80.0,5.8,3,0,23.99,Gejala Ringan
2026-07-02,08:00:00,T-3-9,28.8,83.7,5.7,3,0,25.54,Gejala Ringan
2026-07-02,08:00:00,T-3-10,29.1,71.9,5.9,3,0,21.20,Gejala Ringan
2026-07-02,08:00:00,T-3-11,29.1,67.7,5.0,3,0,23.55,Gejala Ringan
