Ade Hendini | (Gagal akses web: 403/Timeout)
RAJA | (Gagal akses web: 403/Timeout)
NURMALASARI | The Effect of Inflation and Interest Rates on Economic Growth in Indonesia
NURMALASARI | Pengembangan Sistem Informasi Manajemen Arsip Tidak Aktif Menggunakan Metode Agile
ARQ | (Gagal akses web: 403/Timeout)
NURMALASARI | (Gagal akses web: 403/Timeout)
LAT | MEDIASI BRAND IMAGE PADA SOCIAL MEDIA MARKETING DAN INFLUENCER MARKETING TERHADAP PEMILIHAN KAMPUS
YLA | (Gagal akses web: 403/Timeout)
WEISKHY | (Gagal akses web: 403/Timeout)
Ade Hendini | (Gagal akses web: 403/Timeout)
Ade Hendini | Sistem Informasi Monitoring Orang Tua Terhadap Kehadiran Anak di Sekolah Berbasis Website
WEISKHY | (Gagal akses web: 403/Timeout)
WEISKHY | SISTEM INFORMASI AKUNTANSI KAS KECIL PADA BIRO PEMERINTAHAN SEKRETARIAT DAERAH PROVINSI KALIMANTAN BARAT
WEISKHY | (Gagal akses web: 403/Timeout)
WEISKHY | (Gagal akses web: 403/Timeout)
WEISKHY | Prediction of Obesity Categories Based on Physical Activity Using Machine Learning Algorithms
WEISKHY | (Gagal akses web: 403/Timeout)
WEISKHY | Pemodelan Klasifikasi Kategori Harga Rumah Menggunakan Algoritma Decision Tree dengan Pendekatan CRISP-DM
WEISKHY | View of Loan Default Risk Prediction System in Online Loan Services using Machine Learning and Streamline
WEISKHY | DESAIN DAN IMPLEMENTASI SISTEM INFORMASI INVENTARIS ASET DESA BERBASIS WEB DENGAN PENDEKATAN PROTOTYPE UNTUK PROSES PENDATAAN DAN PELAPORAN ASET
LATIFAH | (Gagal akses web: 403/Timeout)
WEJ | International Journal of Managemen Analytics (IJMA)
LATIFAH | From Immersion to Impulse: The Trust Buiding Journey in Digital Commerce
YULIA | (Gagal akses web: 403/Timeout)
NDZ | (Gagal akses web: 403/Timeout)
